0,Adrian Jesus,Escobar Diaz,01/11/99,4,M,1,2,3
0,Adriana,Aguilar Tellez,02/12/98,5,F,2,1,2
0,Alejandro,Aguilar Sanchez,03/12/97,6,M,3,2,1
0,Alejandro,Aguilar Rendon,04/10/96,7,F,1,3,2
0,Alicia,Aguilar Ramirez,05/11/93,8,M,2,1,3
0,Alicia Maria,Aguilar Ramirez,06/09/99,9,F,3,2,1
0,Ana Lilia,Aguilar Pedrero,07/09/94,10,M,1,3,2
0,Arturo,Aguilar Ochoa,08/08/95,4,F,2,1,3
0,Benjamin,Aguilar Gomez Tagle,09/08/92,5,M,3,2,1
0,Blanca Araceli,Aguilar Galvan,10/07/91,6,F,1,3,2
0,Carmen Julieta,Aguilar Flores,11/07/90,7,M,2,1,3
0,Diana,Aguilar Flores,12/06/80,8,F,3,2,1
0,Edgar,Aguilar De Llano,12/06/81,9,M,1,3,2
0,Edmundo Rafael,Aguilar Castro,11/05/78,10,F,2,1,3
0,Elvira,Aguilar Casillas,10/05/79,4,M,3,2,1
0,Erika,Aguayo Labastida,09/04/84,5,F,1,3,2
0,Fernanda,Aguario Albarran,08/04/78,6,M,2,1,3
0,Francisco Alejandro,Aguado Medina,07/04/98,7,F,3,2,1
0,Gabriel,Aguado ,05/05/96,8,M,1,3,2
0,Hector,Adams Huitron,06/03/95,9,F,2,1,3
0,Irais,Adame Gomez,07/03/94,10,M,3,2,1
0,Jose Luis,Adame Garcia,06/02/93,4,F,1,3,2
0,Jose Maria,Acuna Gallareta,07/02/92,5,M,2,1,3
0,Josefina,Acosta Moctezuma,05/03/91,6,F,3,2,1
0,Juan Jesus,Acosta Gonzalez,04/03/89,7,M,1,3,2
0,Julio Cesar,Acosta Garcia,03/04/89,8,F,2,1,3
0,Laura Patricia,Acosta Garcia,02/05/79,9,M,3,2,1
0,Monica,Acosta Baeza,02/06/70,10,F,1,3,2
0,Monica,Acosta Aguirre,03/05/88,4,M,2,1,3
0,Nora Karina,Aceves Pulido,04/07/89,5,F,3,2,1
0,Pavel Alfonso,Aceves Pastor,06/08/77,6,M,1,3,2
0,Roberto Carlos,Aceves Lopez de Nava,07/09/88,7,F,2,1,3
0,Tania Gabriela,Aceves Alvarado,08/07/89,8,M,3,2,1
0,Victoria Eugenia,Acevedo Hernandez,09/07/78,9,F,1,3,2
0,Virginia,Acevedo Hernandez,10/11/98,10,M,2,1,3
